ApsimVersion = 7.9 r4044
Title = ames-2001
           Date           year          yield        biomass     watertable          no3()   surfaceom_wt            lai    dlt_n_min()           Rain
   (dd/mm/yyyy)         (year)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)        (kg/ha)      (m^2/m^2)        (kg/ha)           (mm)
     07/08/2001           2001            0.0            0.0       1827.913          142.2            0.0          0.000            1.4          0.000
     08/08/2001           2001            0.0            0.0       1829.149          143.7            0.0          0.000            1.4          0.000
     09/08/2001           2001            0.0            0.0       1831.211          145.0            0.0          0.000            1.3          0.000
     10/08/2001           2001            0.0            0.0       1834.206          146.1            0.0          0.000            1.1          0.000
     11/08/2001           2001            0.0            0.0       1837.993          147.2            0.0          0.000            1.1          0.000
     12/08/2001           2001            0.0            0.0       1842.410          148.3            0.0          0.000            1.1          0.000
     13/08/2001           2001            0.0            0.0       1847.322          149.4            0.0          0.000            1.1          0.000
     14/08/2001           2001            0.0            0.0       1825.297          150.3            0.0          0.000            0.9          0.762
     15/08/2001           2001            0.0            0.0       1830.115          151.0            0.0          0.000            0.9         20.066
     16/08/2001           2001            0.0            0.0       1832.532          151.8            0.0          0.000            0.9          0.254
     17/08/2001           2001            0.0            0.0       1831.455          152.6            0.0          0.000            1.0          0.000
     18/08/2001           2001            0.0            0.0       1829.465          153.4            0.0          0.000            0.9          3.556
     19/08/2001           2001            0.0            0.0       1827.771          154.2            0.0          0.000            0.8          0.000
     20/08/2001           2001            0.0            0.0       1827.123          154.9            0.0          0.000            0.8          0.000
     21/08/2001           2001            0.0            0.0       1827.623          155.8            0.0          0.000            0.9          0.000
     22/08/2001           2001            0.0            0.0       1828.929          156.8            0.0          0.000            1.0          2.286
     23/08/2001           2001            0.0            0.0       1831.444          157.8            0.0          0.000            1.0          0.000
     24/08/2001           2001            0.0            0.0       1833.733          159.0            0.0          0.000            1.1          9.144
     25/08/2001           2001            0.0            0.0       1835.070          160.0            0.0          0.000            1.1          2.032
     26/08/2001           2001            0.0            0.0       1836.074          161.1            0.0          0.000            1.1          0.000
     27/08/2001           2001            0.0            0.0       1836.958          162.1            0.0          0.000            1.0          0.000
     28/08/2001           2001            0.0            0.0       1837.869          163.1            0.0          0.000            1.0          0.000
     29/08/2001           2001            0.0            0.0       1838.888          164.2            0.0          0.000            1.0          0.000
     30/08/2001           2001            0.0            0.0       1840.369          165.2            0.0          0.000            1.0          0.000
     31/08/2001           2001            0.0            0.0       1841.999          166.1            0.0          0.000            0.9          0.000
     01/09/2001           2001            0.0            0.0       1843.521          167.0            0.0          0.000            0.8          0.000
     02/09/2001           2001            0.0            0.0       1844.998          167.8            0.0          0.000            0.8          0.000
     03/09/2001           2001            0.0            0.0       1846.490          168.7            0.0          0.000            0.9          0.000
     04/09/2001           2001            0.0            0.0       1848.016          169.7            0.0          0.000            0.9          0.000
     05/09/2001           2001            0.0            0.0       1849.584          170.7            0.0          0.000            0.9          0.000
     06/09/2001           2001            0.0            0.0       1851.045          171.4            0.0          0.000            1.0         29.972
     07/09/2001           2001            0.0            0.0       1848.407          171.6            0.0          0.000            0.8         64.262
     08/09/2001           2001            0.0            0.0       1800.685          171.5            0.0          0.000            0.7          4.572
     09/09/2001           2001            0.0            0.0       1762.357          171.5            0.0          0.000            0.6          0.000
     10/09/2001           2001            0.0            0.0       1674.870          171.7            0.0          0.000            0.7          0.000
     11/09/2001           2001            0.0            0.0       1563.695          172.1            0.0          0.000            0.8          0.000
     12/09/2001           2001            0.0            0.0       1557.705          172.7            0.0          0.000            0.9          0.000
     13/09/2001           2001            0.0            0.0       1557.486          173.1            0.0          0.000            0.7          0.000
     14/09/2001           2001            0.0            0.0       1559.633          173.4            0.0          0.000            0.6          0.508
     15/09/2001           2001            0.0            0.0       1562.806          173.8            0.0          0.000            0.6          0.000
